                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01408,                 2.7474,                 1.9061,                0.25347,                0.28975,                0.17436,                0.07375,                0.01479,                 3.0732,                 2.0799,             0.00047166,             0.00047166,             0.00047166
                      2,                0.01458,                 2.6036,                 1.9913,                0.08785,                0.11921,                0.04661,                 0.0176,                0.01956,                    inf,                 2.9013,             0.00093861,             0.00093861,             0.00093861
                      3,                 0.0143,                 2.5474,                 1.9786,                0.26479,                0.30155,                0.19762,                0.07822,                0.01543,                 3.4865,                 2.2144,              0.0013961,              0.0013961,              0.0013961
                      4,                0.01417,                 2.5073,                 1.9815,                 0.5033,                0.14436,                0.11521,                0.03635,                0.01778,                 3.1403,                 2.4162,              0.0013866,              0.0013866,              0.0013866
                      5,                0.01393,                 2.4508,                 1.9623,                0.31434,                0.31541,                0.24517,                0.10682,                0.01461,                 3.1573,                 2.0498,              0.0013724,              0.0013724,              0.0013724
                      6,                0.01364,                 2.3528,                 1.9245,                0.31422,                0.42305,                0.25821,                0.10515,                0.01375,                 2.5319,                 1.9655,              0.0013583,              0.0013583,              0.0013583
                      7,                0.01333,                 2.2956,                 1.8758,                0.32251,                0.41786,                0.28208,                0.12285,                0.01343,                 2.3893,                 1.8815,              0.0013441,              0.0013441,              0.0013441
                      8,                0.01295,                 2.2565,                 1.8392,                0.32556,                0.44192,                0.29068,                0.13231,                0.01333,                 2.3361,                 1.9326,                0.00133,                0.00133,                0.00133
                      9,                0.01288,                 2.2024,                 1.8311,                0.35241,                0.48144,                0.33925,                0.14866,                0.01275,                 2.2099,                 1.8328,              0.0013158,              0.0013158,              0.0013158
                     10,                0.01271,                 2.1799,                 1.8256,                0.37963,                0.42793,                0.31944,                0.13985,                0.01343,                 2.4402,                 1.9298,              0.0013017,              0.0013017,              0.0013017
                     11,                0.01259,                  2.134,                 1.8095,                0.44799,                0.47158,                0.41012,                0.17657,                0.01278,                 2.0216,                  1.852,              0.0012875,              0.0012875,              0.0012875
                     12,                0.01247,                 2.1335,                 1.8054,                0.52798,                0.43088,                0.38409,                0.17305,                0.01281,                 2.2712,                 1.8478,              0.0012734,              0.0012734,              0.0012734
                     13,                0.01242,                 2.1081,                 1.7838,                0.41526,                0.50766,                0.38255,                0.16905,                0.01265,                 2.0752,                 1.8319,              0.0012592,              0.0012592,              0.0012592
                     14,                0.01215,                  2.031,                 1.7519,                0.45861,                0.55818,                0.44877,                0.21219,                0.01217,                 2.0381,                 1.7745,              0.0012451,              0.0012451,              0.0012451
                     15,                0.01205,                 2.0061,                 1.7431,                 0.3965,                0.56431,                0.42801,                0.21519,                0.01179,                 1.9409,                 1.7361,              0.0012309,              0.0012309,              0.0012309
                     16,                0.01198,                 1.9904,                 1.7378,                0.48621,                0.52014,                0.45756,                0.22211,                0.01226,                 1.9543,                 1.8077,              0.0012168,              0.0012168,              0.0012168
                     17,                0.01192,                 1.9664,                 1.7534,                0.45209,                0.54028,                0.42357,                 0.2005,                0.01206,                 1.9391,                  1.747,              0.0012026,              0.0012026,              0.0012026
                     18,                0.01183,                 1.9568,                 1.7292,                0.51709,                0.54438,                 0.4678,                0.23356,                0.01175,                 1.8406,                 1.7217,              0.0011885,              0.0011885,              0.0011885
                     19,                0.01165,                 1.9028,                  1.706,                0.52305,                0.53055,                0.47451,                0.23809,                0.01171,                 1.8108,                  1.722,              0.0011744,              0.0011744,              0.0011744
                     20,                0.01163,                 1.8921,                 1.7071,                0.50195,                0.54401,                0.45362,                0.22158,                0.01182,                 1.8526,                 1.7326,              0.0011602,              0.0011602,              0.0011602
                     21,                0.01161,                 1.8585,                 1.6965,                0.49494,                0.57128,                0.49157,                0.24437,                0.01131,                 1.8907,                 1.6846,              0.0011461,              0.0011461,              0.0011461
                     22,                0.01137,                 1.8385,                 1.6664,                0.50198,                0.61606,                0.52353,                0.26829,                0.01156,                 1.7479,                 1.7154,              0.0011319,              0.0011319,              0.0011319
                     23,                0.01134,                 1.8169,                  1.669,                 0.4915,                0.58739,                0.51882,                0.28056,                0.01143,                 1.7006,                 1.6949,              0.0011178,              0.0011178,              0.0011178
                     24,                0.01134,                 1.8044,                 1.6738,                0.51431,                 0.6049,                0.51521,                0.25685,                0.01141,                 1.8158,                 1.6917,              0.0011036,              0.0011036,              0.0011036
                     25,                 0.0112,                 1.7501,                 1.6438,                0.59781,                0.56795,                0.53285,                0.27012,                0.01154,                 1.7945,                 1.7065,              0.0010895,              0.0010895,              0.0010895
                     26,                0.01118,                 1.7911,                 1.6476,                 0.5481,                0.60137,                0.54951,                0.28354,                0.01128,                 1.6773,                 1.6696,              0.0010753,              0.0010753,              0.0010753
